"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"27","FIC1COF1_Kita","No_CRBD_leaves_middle_portion_3rd_branch",0,"CRBD","leaves","middle","3rd",25,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.2188758248682
"28","FIC1COF1_Kita","No_CRBD_leaves_middle_portion_4th_branch",0,"CRBD","leaves","middle","4th",14,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.63905732961526
"29","FIC1COF1_Kita","No_CRBD_berries_middle_portion_1st_branch",0,"CRBD","berries","middle","1st",7,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",1.94591014905531
"30","FIC1COF1_Kita","No_CRBD_berries_middle_portion_2nd_branch",8,"CRBD","berries","middle","2nd",44,0.181818181818182,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.78418963391826
"31","FIC1COF1_Kita","No_CRBD_berries_middle_portion_3rd_branch",4,"CRBD","berries","middle","3rd",29,0.137931034482759,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.36729582998647
"32","FIC1COF1_Kita","No_CRBD_berries_middle_portion_4th_branch",2,"CRBD","berries","middle","4th",79,0.0253164556962025,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",4.36944785246702
"33","FIC1COF1_Kita","No_CWD_leaves_Top_portion_1st_branch",2,"CWD","leaves","Top","1st",16,0.125,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.77258872223978
"34","FIC1COF1_Kita","No_CWD_leaves_Top_portion_2nd_branch",0,"CWD","leaves","Top","2nd",12,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.484906649788
"35","FIC1COF1_Kita","No_CWD_leaves_Top_portion_3rd_branch",2,"CWD","leaves","Top","3rd",14,0.142857142857143,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.63905732961526
"36","FIC1COF1_Kita","No_CWD_leaves_Top_portion_4th_branch",0,"CWD","leaves","Top","4th",18,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.89037175789616
"37","FIC1COF1_Kita","No_CLR_leaves_Top_portion_1st_branch",6,"CLR","leaves","Top","1st",16,0.375,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.77258872223978
"38","FIC1COF1_Kita","No_CLR_leaves_Top_portion_2nd_branch",5,"CLR","leaves","Top","2nd",12,0.416666666666667,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.484906649788
"39","FIC1COF1_Kita","No_CLR_leaves_Top_portion_3rd_branch",8,"CLR","leaves","Top","3rd",14,0.571428571428571,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.63905732961526
"40","FIC1COF1_Kita","No_CLR_leaves_Top_portion_4th_branch",1,"CLR","leaves","Top","4th",18,0.0555555555555556,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.89037175789616
"41","FIC1COF1_Kita","No_CRBD_leaves_Top_portion_1st_branch",0,"CRBD","leaves","Top","1st",16,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.77258872223978
"42","FIC1COF1_Kita","No_CRBD_leaves_Top_portion_2nd_branch",0,"CRBD","leaves","Top","2nd",12,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.484906649788
"43","FIC1COF1_Kita","No_CRBD_leaves_Top_portion_3rd_branch",0,"CRBD","leaves","Top","3rd",14,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.63905732961526
"44","FIC1COF1_Kita","No_CRBD_leaves_Top_portion_4th_branch",2,"CRBD","leaves","Top","4th",18,0.111111111111111,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.89037175789616
"45","FIC1COF1_Kita","No_CRBD_berries_Top_portion_1st_branch",0,"CRBD","berries","Top","1st",60,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",4.0943445622221
"46","FIC1COF1_Kita","No_CRBD_berries_Top_portion_2nd_branch",0,"CRBD","berries","Top","2nd",42,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.73766961828337
"47","FIC1COF1_Kita","No_CRBD_berries_Top_portion_3rd_branch",0,"CRBD","berries","Top","3rd",29,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.36729582998647
"48","FIC1COF1_Kita","No_CRBD_berries_Top_portion_4th_branch",3,"CRBD","berries","Top","4th",79,0.0379746835443038,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",4.36944785246702
"49","FIC1COF2_Kita","No_CWD_leaves_lower_portion_1st_branch",0,"CWD","leaves","lower","1st",27,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.29583686600433
"50","FIC1COF2_Kita","No_CWD_leaves_lower_portion_2nd_branch",0,"CWD","leaves","lower","2nd",16,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.77258872223978
